id_cliente,persona,engajamento,compras_60_dias,proba
cli_0000,esporadico,87.1,47.0,0.34
cli_0001,unknown,7.9,0.0,0.07
cli_0002,esporadico,85.3,116.0,0.34
cli_0003,esporadico,9.0,159.0,0.14
cli_0004,esporadico,2.5,0.0,0.11
cli_0005,vinho_final_do_dia,84.9,104.0,0.32
cli_0006,esporadico,59.7,129.0,0.27
cli_0007,unknown,25.4,0.0,0.11
cli_0008,unknown,2.9,0.0,0.06
cli_0009,esporadico,7.5,0.0,0.12
cli_0010,esporadico,74.9,149.0,0.31
cli_0011,churrasco_fds,0.3,0.0,0.22
cli_0012,esporadico,13.3,0.0,0.14
cli_0013,unknown,68.0,119.0,0.23
cli_0014,esporadico,88.5,159.0,0.35
cli_0015,unknown,0.2,0.0,0.05
cli_0016,unknown,2.9,0.0,0.06
cli_0017,unknown,15.9,0.0,0.09
cli_0018,esporadico,76.0,138.0,0.31
cli_0019,vinho_final_do_dia,16.1,99.0,0.14
cli_0020,unknown,5.8,0.0,0.06
cli_0021,vinho_final_do_dia,10.2,0.0,0.12
cli_0022,unknown,83.2,199.0,0.28
cli_0023,unknown,0.9,0.0,0.05
cli_0024,unknown,7.7,0.0,0.07
cli_0025,esporadico,80.0,182.0,0.33
cli_0026,churrasco_fds,45.6,159.0,0.35
cli_0027,unknown,76.7,100.0,0.26
cli_0028,unknown,7.9,0.0,0.07
cli_0029,unknown,79.3,6.0,0.26
cli_0030,unknown,18.8,0.0,0.1
cli_0031,esporadico,79.0,120.0,0.32
cli_0032,unknown,5.6,0.0,0.06
cli_0033,unknown,96.1,80.0,0.31
cli_0034,esporadico,1.4,0.0,0.11
cli_0035,unknown,1.4,0.0,0.05
cli_0036,churrasco_fds,6.2,0.0,0.24
cli_0037,unknown,19.4,149.0,0.11
cli_0038,vinho_final_do_dia,4.1,99.0,0.11
cli_0039,unknown,38.5,0.0,0.15
cli_0040,unknown,29.2,159.0,0.13
cli_0041,esporadico,5.9,0.0,0.12
cli_0042,vinho_final_do_dia,6.2,0.0,0.11
cli_0043,unknown,9.2,0.0,0.07
cli_0044,esporadico,68.3,159.0,0.29
cli_0045,unknown,90.0,117.0,0.29
cli_0046,unknown,86.3,129.0,0.28
cli_0047,unknown,91.9,67.0,0.29
cli_0048,churrasco_fds,5.7,0.0,0.24
cli_0049,esporadico,22.3,0.0,0.16
cli_0050,esporadico,9.7,0.0,0.13
cli_0051,vinho_final_do_dia,1.7,129.0,0.11
cli_0052,esporadico,0.7,0.0,0.11
cli_0053,unknown,4.9,0.0,0.06
cli_0054,vinho_final_do_dia,0.6,0.0,0.1
cli_0055,esporadico,4.4,0.0,0.12
cli_0056,esporadico,22.7,0.0,0.16
cli_0057,unknown,7.3,0.0,0.07
cli_0058,vinho_final_do_dia,38.5,149.0,0.21
cli_0059,unknown,2.2,0.0,0.05
cli_0060,unknown,2.8,0.0,0.06
cli_0061,unknown,23.4,0.0,0.11
cli_0062,unknown,87.0,123.0,0.28
cli_0063,churrasco_fds,3.4,0.0,0.23
cli_0064,unknown,18.7,99.0,0.1
